English,Korean
0,you,너
1,I or I.,나 또는 I.
2,to,에게
3,the,그만큼
4,a or A.,A 또는 A.
5,and,그리고
6,that,저것
7,it,그것
8,of,의
9,me,나
10,what,무엇
11,is,~이다
12,in,안에
13,this,이것
14,know,알다 
15,I'm,나는
16,for,~을 위한
17,no,아니요
18,have,가지다
19,my,나의
20,don't,~하지 않다
21,just,단지
22,not,~ 아니다
23,do,하다
24,be,~이다
25,on,~에
26,your,당신의
27,was,~였다
28,we,우리
29,it's,이것의
30,with,~와 함께
31,so,그래서
32,but,하지만
33,all,모두
34,well,잘
35,are,~이다
36,he,그
37,oh,오
38,about,~에 대한
39,right,오른쪽
40,you're,당신은
41,get,가져 오기
42,here,여기
43,out,밖으로
44,going,가고 있다
45,like,처럼
46,yeah,응
47,if,만약에
48,her,그녀의
49,she,그녀
50,can,~할 수 있다
51,up,위로
52,want,원하다
53,think,생각한다
54,that's,그게
55,now,지금
56,go,가다
57,him,그를
58,at,~에
59,how,어떻게
60,got,갖다
61,there,거기
62,one,하나
63,did,했다
64,why,왜
65,see,보다
66,come,오다
67,good,좋은
68,they,그들
69,really,진짜
70,as,~처럼
71,would,~일 것이다
72,look,바라보다
73,when,언제
74,time,시각
75,will,~ 할 것이다
76,okay,좋아요
77,back,뒤
78,can't,캔트
79,mean,평균
80,tell,말하다
81,I'll,아픈
82,from,~에서
83,hey,야
84,were,~이었다
85,he's,그는
86,could,~할 수 있었다
87,didn't,그렇지 않았다
88,yes,예
89,his,그의
90,been,계속 ~ 이다
91,or,또는
92,something,무엇
93,who,누구
94,because,왜냐하면
95,some,약간
96,had,가졌다
97,then,그 다음에
98,say,말하다
99,ok,좋아요
100,take,가져가다
101,an,an
102,way,방법
103,us,우리를
104,little,작은
105,make,만들다
106,need,필요
107,gonna,할거야
108,never,절대
109,we're,이었다
110,too,~도
111,love,사랑
112,she's,그녀는
113,I've,나는
114,sure,확실한
115,them,그들을
116,more,더
117,over,~ 위에
118,our,우리의
119,sorry,죄송합니다
120,where,어디
121,what's,뭐야
122,let,허락하다
123,thing,물건
124,am,~이다
125,maybe,아마도
126,down,아래에
127,man,남성
128,uh,음
129,very,매우
130,by,~에 의해
131,there's,거기 있습니다
